Class,Precision,Recall,F1_Score
189.snail,0.9230769230769231,0.9230769230769231,0.9230769230769231
190.snake,0.8,0.6666666666666666,0.7272727272727273
191.sneaker,0.6363636363636364,0.5833333333333334,0.6086956521739131
192.snowmobile,1.0,1.0,1.0
193.soccer-ball,0.7894736842105263,0.8333333333333334,0.8108108108108109
194.socks,0.7692307692307693,0.8333333333333334,0.8
195.soda-can,0.5,0.4,0.4444444444444444
196.spaghetti,0.8461538461538461,1.0,0.9166666666666666
197.speed-boat,0.8888888888888888,0.8,0.8421052631578947
198.spider,0.9090909090909091,0.8333333333333334,0.8695652173913043
199.spoon,0.7777777777777778,0.6363636363636364,0.7
200.stained-glass,0.8,0.8,0.8
201.starfish-101,0.8888888888888888,0.8888888888888888,0.8888888888888888
202.steering-wheel,0.7272727272727273,0.7272727272727273,0.7272727272727273
203.stirrups,0.8181818181818182,0.9,0.8571428571428571
204.sunflower-101,1.0,1.0,1.0
205.superman,0.8888888888888888,0.8,0.8421052631578947
206.sushi,0.6875,1.0,0.8148148148148148
207.swan,1.0,0.9166666666666666,0.9565217391304348
208.swiss-army-knife,0.8,1.0,0.8888888888888888
209.sword,0.5833333333333334,0.6363636363636364,0.6086956521739131
210.syringe,0.5833333333333334,0.5833333333333334,0.5833333333333334
211.tambourine,0.875,0.7,0.7777777777777778
212.teapot,0.875,0.9333333333333333,0.9032258064516129
213.teddy-bear,0.6923076923076923,0.8181818181818182,0.75
214.teepee,0.6666666666666666,0.9333333333333333,0.7777777777777778
215.telephone-box,0.9,1.0,0.9473684210526315
216.tennis-ball,0.9166666666666666,1.0,0.9565217391304348
217.tennis-court,0.75,0.8181818181818182,0.782608695652174
218.tennis-racket,1.0,0.6666666666666666,0.8
219.theodolite,0.8,0.8888888888888888,0.8421052631578947
220.toaster,0.9,0.9,0.9
221.tomato,1.0,0.9090909090909091,0.9523809523809523
222.tombstone,1.0,0.8,0.8888888888888888
223.top-hat,1.0,0.625,0.7692307692307693
224.touring-bike,0.6,0.8181818181818182,0.6923076923076923
225.tower-pisa,0.8181818181818182,1.0,0.9
226.traffic-light,1.0,0.8181818181818182,0.9
227.treadmill,0.7333333333333333,0.6875,0.7096774193548387
228.triceratops,0.75,0.9,0.8181818181818182
229.tricycle,0.75,0.6,0.6666666666666666
230.trilobite-101,0.9090909090909091,1.0,0.9523809523809523
231.tripod,0.9090909090909091,0.8333333333333334,0.8695652173913043
232.t-shirt,0.85,0.918918918918919,0.8831168831168831
233.tuning-fork,0.7142857142857143,0.5,0.5882352941176471
234.tweezer,0.6428571428571429,0.6923076923076923,0.6666666666666666
235.umbrella-101,1.0,0.9166666666666666,0.9565217391304348
236.unicorn,0.7142857142857143,0.9090909090909091,0.8
237.vcr,0.7142857142857143,0.5555555555555556,0.625
238.video-projector,0.8461538461538461,1.0,0.9166666666666666
239.washing-machine,1.0,0.4444444444444444,0.6153846153846154
240.watch-101,0.95,0.9047619047619048,0.926829268292683
241.waterfall,0.75,0.9,0.8181818181818182
242.watermelon,0.9,0.9,0.9
243.welding-mask,0.6363636363636364,0.7777777777777778,0.7
244.wheelbarrow,0.7272727272727273,0.8,0.7619047619047619
245.windmill,0.625,0.5,0.5555555555555556
246.wine-bottle,0.9090909090909091,0.9090909090909091,0.9090909090909091
247.xylophone,1.0,0.6,0.75
248.yarmulke,0.5555555555555556,0.5555555555555556,0.5555555555555556
249.yo-yo,0.8571428571428571,0.6,0.7058823529411765
250.zebra,1.0,1.0,1.0
251.airplanes-101,0.9518072289156626,0.9875,0.9693251533742331
252.car-side-101,0.8571428571428571,0.9230769230769231,0.8888888888888888
253.faces-easy-101,0.9361702127659575,1.0,0.967032967032967
254.greyhound,0.9090909090909091,1.0,0.9523809523809523
255.tennis-shoes,0.6,0.5454545454545454,0.5714285714285714
256.toad,0.7272727272727273,0.6666666666666666,0.6956521739130435
257.clutter,0.6056338028169014,0.5119047619047619,0.5548387096774193
