Epoch,Train_Loss,Val_Loss,Train_Accuracy,Val_Accuracy,Epoch_Train_Time_sec,Final_Test_Accuracy,Total_Training_Time_sec,Inference_Time_ms,Model_Size_MB,Parameter_Count
1,4.838234119892413,4.098840399525514,0.11256920237851138,0.2362470469119136,94.65427684783936,0.754525928198834,1047.3635439872742,5.639019012451172,43.17471694946289,11308353
2,3.628316010621231,3.0960120117587895,0.36571662907525115,0.4741815727303409,93.88445663452148,0.754525928198834,1047.3635439872742,5.639019012451172,43.17471694946289,11308353
3,2.81617340262317,2.455826510298385,0.5589911831043675,0.6020924738440769,93.03589200973511,0.754525928198834,1047.3635439872742,5.639019012451172,43.17471694946289,11308353
4,2.272805561998816,2.034971865737032,0.6526963297108879,0.6550793115086061,94.44318795204163,0.754525928198834,1047.3635439872742,5.639019012451172,43.17471694946289,11308353
5,1.9081214669739732,1.8238081403411082,0.7076071355341398,0.6888288896388796,94.31387257575989,0.754525928198834,1047.3635439872742,5.639019012451172,43.17471694946289,11308353
6,1.6565499336034615,1.5969443061727548,0.7382407217551774,0.71481606479919,92.48451471328735,0.754525928198834,1047.3635439872742,5.639019012451172,43.17471694946289,11308353
7,1.4663228567442934,1.4490468803387093,0.7603444740619233,0.7215659804252447,94.56800985336304,0.754525928198834,1047.3635439872742,5.639019012451172,43.17471694946289,11308353
8,1.3289764934615667,1.3480947675473216,0.7750256305105597,0.7384407694903814,93.02491760253906,0.754525928198834,1047.3635439872742,5.639019012451172,43.17471694946289,11308353
9,1.2237767586777488,1.2600677016213502,0.7826532704531475,0.7522780965237934,92.43072700500488,0.754525928198834,1047.3635439872742,5.639019012451172,43.17471694946289,11308353
10,1.1331559159898943,1.1457951365392673,0.795653065409063,0.7613904826189672,94.66857147216797,0.754525928198834,1047.3635439872742,5.639019012451172,43.17471694946289,11308353
