Epoch,Train_Loss,Val_Loss,Train_Accuracy,Val_Accuracy,Epoch_Train_Time_sec,Final_Test_Accuracy,Total_Training_Time_sec,Inference_Time_ms,Model_Size_MB,Parameter_Count
1,4.733200369141301,3.817445291685889,0.25072790649989746,0.5258184272696591,95.13004636764526,0.8054617980975759,1049.4365134239197,7.241568565368652,21.263187408447266,5574017
2,3.1562451889604386,2.568694142123714,0.612835759688333,0.6756665541680729,92.89195585250854,0.8054617980975759,1049.4365134239197,7.241568565368652,21.263187408447266,5574017
3,2.1627542135142046,1.8398546090288577,0.7125281935616158,0.7347283158960513,94.92209982872009,0.8054617980975759,1049.4365134239197,7.241568565368652,21.263187408447266,5574017
4,1.5975749878315548,1.4388764924066435,0.761943817920853,0.7688153898076274,92.85749816894531,0.8054617980975759,1049.4365134239197,7.241568565368652,21.263187408447266,5574017
5,1.2768877192662587,1.2086880610997397,0.7895017428747181,0.788390145123186,93.45660281181335,0.8054617980975759,1049.4365134239197,7.241568565368652,21.263187408447266,5574017
6,1.0821518423874066,1.0660694996891413,0.8097190896042649,0.8008774890313871,94.50144529342651,0.8054617980975759,1049.4365134239197,7.241568565368652,21.263187408447266,5574017
7,0.9546473288990714,0.9707328669332066,0.8199302850112774,0.8052649341883227,93.90633654594421,0.8054617980975759,1049.4365134239197,7.241568565368652,21.263187408447266,5574017
8,0.8629963846169512,0.9030454874521487,0.8286651630100471,0.8079649004387445,94.72455525398254,0.8054617980975759,1049.4365134239197,7.241568565368652,21.263187408447266,5574017
9,0.7896696530383326,0.8535529640611668,0.8369489440229649,0.8147148160647992,92.90173435211182,0.8054617980975759,1049.4365134239197,7.241568565368652,21.263187408447266,5574017
10,0.7370271879971113,0.8157815254100705,0.8454787779372566,0.8167397907526156,93.71154117584229,0.8054617980975759,1049.4365134239197,7.241568565368652,21.263187408447266,5574017
